AnnoS;AteneoCOD;AteneoNOME;ClasseNUMERO;CorsoNOME;SedeC;SedeP;Sesso;Lau
2019;1202;Insubria;LM-54;Chimica;COMO;13;M;7
2019;1202;Insubria;LM-92;Scienze e Tecniche della Comunicazione;VARESE;12;M;7
2019;1501;Milano;L-43;Scienze e Tecnologie per Lo Studio e la Conservazione dei Beni Culturali e dei Supporti della Informazione;MILANO;15;M;7
2021;9201;Cagliari;LM-92;Filosofia e Teorie della Comunicazione;CAGLIARI;92;F;7
2021;9201;Cagliari;LM-51;Psicologia dello Sviluppo e dei Processi Socio-Lavorativi;CAGLIARI;92;M;7
2021;9201;Cagliari;L-30;Fisica;CAGLIARI;92;F;7
2021;8701;Catania;LM-89;Storia dell'Arte e Beni Culturali;CATANIA;87;M;7
2021;8701;Catania;LM-62;Global Politics And Euro-Mediterranean Relations;CATANIA;87;F;7
2021;8701;Catania;LM-65;Comunicazione della Cultura e dello Spettacolo;CATANIA;87;M;7
2021;9001;Sassari;L-17;Scienze dell'Architettura e del Progetto;ALGHERO;90;M;7
2021;9201;Cagliari;L-02;Biotecnologie Industriali;CAGLIARI;92;F;7
2021;9201;Cagliari;L-02;Biotecnologie Industriali;CAGLIARI;92;M;7
2021;9201;Cagliari;L/SNT2;Logopedia (Abilitante alla Professione Sanitaria di Logopedista);CAGLIARI;92;F;7
2021;9201;Cagliari;46/S;Medicina e Chirurgia;CAGLIARI;92;M;7
2021;9201;Cagliari;L-09;Ingegneria Meccanica;CAGLIARI;92;F;7
2021;9201;Cagliari;L-08;Ingegneria Elettrica, Elettronica e Informatica;CAGLIARI;92;F;7
2021;9001;Sassari;LM-46;Odontoiatria e Protesi Dentaria;SASSARI;90;F;7
2021;9001;Sassari;LM-38;Lingue e Letterature Straniere per la Mediazione Culturale e la Valorizzazione del Territorio;SASSARI;90;M;7
2021;9001;Sassari;LM-48;Pianificazione e Politiche per la Città, l'Ambiente e il Paesaggio;ALGHERO;90;M;7
2021;9001;Sassari;LM-69;Sistemi Agrari;SASSARI;90;F;7
2021;8701;Catania;LM-02;Archeologia;CATANIA;87;M;7
2021;8701;Catania;L-19;Scienze dell'Educazione e della Formazione;CATANIA;87;M;7
2021;8701;Catania;LM-23;Ingegneria Civile Strutturale e Geotecnica;CATANIA;87;M;7
2021;8701;Catania;LM-35;Ingegneria per l'Ambiente e il Territorio;CATANIA;87;F;7
2021;8701;Catania;LM-40;Matematica;CATANIA;87;M;7
2021;8701;Catania;11;Lingue e Culture Europee;CATANIA;87;F;7
2021;8601;Enna KORE;LM-67;Scienze e Tecniche delle Attività Motorie Preventive e Adattate;ENNA;86;F;7
2021;8701;Catania;L/SNT1;Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o);CATANIA;87;F;7
2021;8701;Catania;L/SNT2;Ortottica ed Assistenza Oftalmologica (Abilitante alla Professione Sanitaria di Ortottista ed Assistente di Oftalmologia);CATANIA;87;F;7
2021;8701;Catania;46/S;Medicina e Chirurgia;CATANIA;87;F;7
2021;8701;Catania;L/SNT3;Tecniche di Radiologia Medica, per Immagini e Radioterapia (Abilitante alla Professione Sanitaria di Tecnico di Radiologia Medica);CATANIA;87;F;7
2021;8701;Catania;L/SNT3;Tecniche di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare (Abilitante alla Professione Sanitaria di Tecnico di Fisiopatologia Cardiocircolatoria e Perfusione Cardiovascolare);CATANIA;87;F;7
2021;8701;Catania;L-08;Ingegneria Elettronica;CATANIA;87;F;7
2021;7801;Calabria;LM-62;Scienze Politiche;RENDE;78;M;7
2021;7801;Calabria;LM-65;Dams. Cinema, Fotografia, Performance;RENDE;78;F;7
2021;7801;Calabria;LM-92;Comunicazione e Tecnologie dell'Informazione;RENDE;78;M;7
