ANNO_LAUREA;COD_Ateneo;NomeOperativo;NUMERO;NOME_CORSO;COMUNE;ID_PROVINCIA_ISTAT;ID_SESSO;laureati
2020;2301;Verona;L-25;Scienze e Tecnologie Viticole ed Enologiche;SAN PIETRO IN CARIANO;23;F;9
2020;2701;Ca' Foscari Venezia;LM-49;Sviluppo Interculturale dei Sistemi Turistici;VENEZIA;27;M;9
2020;2701;Ca' Foscari Venezia;LM-63;Governance delle Organizzazioni Pubbliche;VENEZIA;27;M;9
2020;2801;Padova;L/SNT1;Ostetricia (Abilitante alla Professione Sanitaria di Ostetrica/o);TREVISO;26;F;9
2020;2801;Padova;L/SNT1;Infermieristica (Abilitante alla Professione Sanitaria di Infermiere);PORTOGRUARO;27;M;9
2020;2801;Padova;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);PADOVA;28;M;9
2020;2801;Padova;L/SNT3;Igiene Dentale (Abilitante alla Professione Sanitaria di Igienista Dentale);TREVISO;26;M;9
2020;2801;Padova;L/SNT2;Fisioterapia (Abilitante alla Professione Sanitaria di Fisioterapista);CONEGLIANO;26;F;9
2020;2801;Padova;L-11;Lingue, Letterature e Culture Moderne;PADOVA;28;F;9
2020;2801;Padova;L-24;Psychological Science;PADOVA;28;M;9
2020;3001;Udine;L-01;Conservazione dei Beni Culturali;UDINE;30;M;9
2020;3001;Udine;L-38;Allevamento e Salute Animale;UDINE;30;M;9
2020;2801;Padova;LM-89;Storia dell'Arte;PADOVA;28;M;9
2020;2801;Padova;LM-81;Local Development;PADOVA;28;M;9
2020;2801;Padova;LM/SNT2;Scienze Riabilitative delle Professioni Sanitarie;PADOVA;28;F;9
2020;3701;Bologna;LM-85 bis;Scienze della Formazione Primaria;BOLOGNA;37;M;9
2020;3701;Bologna;LMR/02;Conservazione e Restauro dei Beni Culturali (Abilitante Ai Sensi del D.Lgs N.42/2004);RAVENNA;39;F;9
2020;3701;Bologna;LM-80;Geografia e Processi Territoriali;BOLOGNA;37;F;9
2020;3701;Bologna;LM-56;Resource Economics And Sustainable Development / Economia delle Risorse e dello Sviluppo Sostenibile;RIMINI;99;F;9
2020;3701;Bologna;LM-51;Psicologia Clinica;CESENA;40;M;9
2020;3701;Bologna;LM-17;Fisica;BOLOGNA;37;F;9
2020;3701;Bologna;LM-08;Biotecnologie Molecolari e Industriali;BOLOGNA;37;F;9
2020;3701;Bologna;LM-09;Biotecnologie Mediche;BOLOGNA;37;M;9
2020;3701;Bologna;LM-29;Advanced Automotive Electronic Engineering;BOLOGNA;37;M;9
2020;3701;Bologna;LM-32;Ingegneria Informatica;BOLOGNA;37;F;9
2020;3701;Bologna;L-29;Controllo di Qualita dei Prodotti per la Salute;RIMINI;99;F;9
2020;3701;Bologna;L-31;Ingegneria e Scienze Informatiche;CESENA;40;F;9
2020;4101;Urbino;L-18;Economia e Management;FANO;41;M;9
2020;3801;Ferrara;L-11;Letterature e Lingue Moderne e Classiche;FERRARA;38;F;9
2020;3801;Ferrara;L-09;Ingegneria Meccanica;FERRARA;38;F;9
2020;3801;Ferrara;L-35;Matematica;FERRARA;38;F;9
2020;3801;Ferrara;LM/SNT2;Scienze Riabilitative delle Professioni Sanitarie;FERRARA;38;M;9
2020;3801;Ferrara;L-30;Fisica;FERRARA;38;M;9
2020;3801;Ferrara;L-14;Operatore dei Servizi Giuridici;FERRARA;38;M;9
2020;3401;Parma;LM-06;Biologia Molecolare;PARMA;34;M;9
2020;3401;Parma;L-35;Matematica;PARMA;34;M;9
2020;3401;Parma;LM-40;Matematica;PARMA;34;M;9
2020;3401;Parma;LM-15;Lettere Classiche e Moderne;PARMA;34;F;9
2020;3201;Trieste;LM-84;Studi Storici Dal Medioevo all'Età Contemporanea;TRIESTE;32;F;9
2020;3201;Trieste;LM-78;Filosofia;TRIESTE;32;F;9
2020;3401;Parma;L-09;Ingegneria Meccanica;PARMA;34;F;9
2020;3401;Parma;L-01;Beni Artistici e dello Spettacolo;PARMA;34;M;9
2020;3201;Trieste;LM-13ante22;Farmacia;TRIESTE;32;M;9
2020;3201;Trieste;LM-40;Matematica;TRIESTE;32;F;9
2020;3201;Trieste;L-32;Scienze e Tecnologie per l'Ambiente e la Natura;TRIESTE;32;M;9
2020;3201;Trieste;LM-06;Ecologia dei Cambiamenti Globali;TRIESTE;32;M;9
2020;3001;Udine;LM-94;Traduzione e Mediazione Culturale;UDINE;30;M;9
2020;3001;Udine;LM-69;Scienze e Tecnologie Agrarie;UDINE;30;F;9
2020;3401;Parma;LM-75;Scienze e Tecnologie per l'Ambiente e le Risorse;PARMA;34;F;9
2020;3601;Modena e Reggio Emilia;LM-33;Ingegneria del Veicolo Ad Alte Prestazioni;MODENA;36;M;9
2020;3701;Bologna;L/SNT2;Educazione Professionale (Abilitante alla Professione Sanitaria di Educatore Professionale);IMOLA;37;M;9
2020;3701;Bologna;L/SNT4;Tecniche della Prevenzione nell'Ambiente e nei Luoghi di Lavoro (Abilitante alla Professione Sanitaria di Tecnico della Prevenzione nell'Ambiente e nei Luoghi di Lavoro);IMOLA;37;F;9
2020;5802;Roma Tor Vergata;L-27;Chimica Applicata;ROMA;58;F;9
2020;5802;Roma Tor Vergata;L-33;Business Administration & Economics;ROMA;58;M;9
