"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",32053,,
"ITG2","Sardegna","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",10423,,
"ITE3","Marche","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",11402,,
"ITF6","Calabria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",15628,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",9926,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",40589,,
"ITE1","Toscana","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",27031,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",46590,,
"ITF4","Puglia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","99","totale","2020","2020",30597,,
"ITG1","Sicilia","JAN","popolazione al 1º gennaio","9","totale","Y3","3 anni","1","nubile/celibe","2020","2020",40589,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",961,,
"ITD4","Friuli-Venezia Giulia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",8715,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",39268,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",85067,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",961,,
"ITD3","Veneto","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",39268,,
"ITC4","Lombardia","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",85067,,
"ITD5","Emilia-Romagna","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",36507,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",32833,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",10202,,
"ITD1","Provincia Autonoma Bolzano / Bozen","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",5518,,
"ITC3","Liguria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",10202,,
"ITC1","Piemonte","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",32833,,
"ITD2","Provincia Autonoma Trento","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",4878,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",10396,,
"ITDA","Trentino Alto Adige / Südtirol","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","1","nubile/celibe","2020","2020",10396,,
"ITE4","Lazio","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",47781,,
"ITE2","Umbria","JAN","popolazione al 1º gennaio","9","totale","Y4","4 anni","99","totale","2020","2020",6428,,
